ObjectId,CitationNumber,OfficerBadgeNo,CitationDateTime,OffenseDateTime,WeatherCondition,CaseNumber,ViolatorPartyType,ViolatorAge,ViolatorSex,ViolatorRace,ViolatorEthnicity,VehYear,VehMake,VehModel,VehType,PrimaryBlock,PrimaryStreet,CrossStreet,DirectionOfTravel,Arrest,ViolationStopResult,ViolationOffenseType,ViolationDescription,Offense_Code,OffenseSubCode,Violation_Notes,CourtRequired,ObservedSpeed,PostedSpeed,SpeedDetermined,RadarMovSta,Radar_LidarNo,Accident,OfficerNotes,DiagramFilename,ReasonForStop,TypeOfSearch,VehicleSearch
1,CS0016186,564,2016/02/28 08:25:00+00,00/28/2016 00:25:00,,57866,DRIVER,34,M,AFRICAN AMERICAN,B,2014,TOYOTA,COROLLA,PASS,,L ST,15TH,W,N,CITATION,I,(I) MIN SPD-IMPEDING TRAFFIC FLO,VC,22400(A),(I) MIN SPD-IMPEDING TRAFFIC FLO,N,,,,,,N,,,,,
2,CS0099056,3041,2016/09/02 01:20:00+00,00/01/2016 18:20:00,CLEAR,254350,DRIVER,26,F,HISPANIC,W,2014,CHEVROLET,CAPTIVA SPORT,TRCK,,MARYSVILLE BLVD,ROSALIND ST,S,N,CITATION,M,(M) UNLICENSED OPERATOR,VC,12500(A),(M) UNLICENSED OPERATOR,N,40,35,,,,N,,,,,LL
3,CS0164962,530,2016/09/29 23:26:00+00,00/29/2016 16:26:00,,282975,DRIVER,20,F,HISPANIC,W,2003,FORD,TAURUS,PASS,,SAN JUAN RD,TRUXEL RD,W,N,CITATION,I,(I) PROOF OF INSURANCE REQUIRED,VC,16028(A),(I) PROOF OF INSURANCE REQUIRED,N,,,,,,N,,,,,
4,CS0167172,886,2016/11/03 15:11:59+00,00/03/2016 08:12:00,CLEAR,318162,DRIVER,20,F,AM. IND./AL. NATIVE,I,2015,TOYOTA,COROLLA,PASS,,DEL PASO BLVD,BAXTER AVE,S,N,CITATION,M,(M) UNLICENSED OPERATOR,VC,12500(A),(M) UNLICENSED OPERATOR,N,15,,,,,N,,,,,4T
5,CS0052016,225,2016/04/22 03:06:00+00,00/21/2016 20:06:00,,113663,DRIVER,42,F,HISPANIC,W,1993,DODGE,CARAVAN,PASS,,MARTIN LUTHER KING JR BLVD,9TH AVE,,N,CITATION,M,(M) SUSP/REVOKE LICENSE,VC,14601.1(A),(M) SUSP/REVOKE LICENSE,N,,,,,,N,,,,,
6,CS0142790,886,2016/04/26 01:34:59+00,00/25/2016 18:35:00,CLOUDY,117838,DRIVER,31,F,AFRICAN AMERICAN,B,1997,FORD,EXPLORER,PASS,,I 5,J ST,E,N,CITATION,I,(I) PROOF OF INSURANCE REQUIRED,VC,16028(A),(I) PROOF OF INSURANCE REQUIRED,N,65,,,,,N,BWC WG,,,,4H
7,CS0009472,298,2016/06/14 20:35:00+00,00/14/2016 13:35:00,CLEAR,171176,DRIVER,50,F,AFRICAN AMERICAN,B,2003,TOYOTA,CAMRY,PASS,,FLORIN,FRANKLIN,W,N,CITATION,I,(I) WIRELESS DEVICE NOT HANDS FREE,VC,23123(A),"(I) WIRELESS DEVICE NOT HANDS FREE
RIGHT HAND RIGHT EAR TALKING",N,,,,,,N,BODYCAM CAPTURE,,,,4D
8,CS0005056,794,2016/03/31 00:37:59+00,00/30/2016 17:38:00,CLEAR,89838,DRIVER,30,M,HISPANIC,W,2001,FORD,EXPEDITION,PTRK,,DEL PASO RD,GATEWAY PARK BLVD,E,N,CITATION,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),(I) NO EVIDENCE OF CURRENT REGISTRATION,N,,,,,,N,,,,,LL
9,CS0142885,886,2016/06/08 21:56:00+00,00/08/2016 14:56:00,,164771,DRIVER,36,F,WHITE,W,2007,CHEVROLET,TRAILBLAZER,PASS,,TRUXEL RD,GATEWAY PARK BLVD,NW,N,CITATION,I,(I) WIRELESS DEVICE NOT HANDS FREE,VC,23123(A),(I) WIRELESS DEVICE NOT HANDS FREE,N,15,,,,,N,,,,,
10,CS0142800,886,2016/04/27 14:51:00+00,00/27/2016 07:51:00,CLEAR,119322,DRIVER,34,M,HISPANIC,W,2005,CHEVROLET,EXPRESS,PASS,,FRUITRIDGE RD,55TH ST,E,N,CITATION,I,(I) SEND/READ/WRITE TEXT WHILE DRIVING,VC,23123.5(A),(I) SEND/READ/WRITE TEXT WHILE DRIVING,N,35,,,,,N,,,,,4T
