CitationNumber,OfficerBadgeNo,CitationDate,CitationTime,OffenseDate,OffenseTime,WeatherCondition,CaseNumber,ViolatorPartyType,ViolatorAge,ViolatorSex,ViolatorRace,ViolatorEthnicity,VehYear,VehMake,VehModel,VehType,PrimaryBlock,PrimaryStreet,CrossStreet,DirectionOfTravel,Arrest,ViolationStopResult,ViolationOffenseType,ViolationDescription,Offense_Code,OffenseSubCode,Violation_Notes,CourtRequired,ObservedSpeed,PostedSpeed,SpeedDetermined,RadarMovSta,Radar_LidarNo,Accident,OfficerNotes,DiagramFilename,ReasonForStop,TypeOfSearch,VehicleSearch,ObjectId
1322028,760,2022/01/01 00:00:00+00,2023/02/01 00:52:00+00,2022/01/01 00:00:00+00,2023/02/01 00:52:00+00,,87,Driver,22,M,HISPANIC,W,2003,CHEVROLET,CAVALIER,PASS,,GATEWAY PARK DR,NORTH MARKET BLVD,S,N,CITATION,I,(I) UNSAFE TURNING MOVEMENT,VC,22107,,N,35,,,,,N,VEHICLE MADE MULTIPLE LANE CHANGES WITHOUT SIGNALING WHILE WEAVING BACK AND WORTH ACROSS MULTIPLE LANES OF TRAFFIC.  INCIDENT WAS RECORDED ON IN CAR CAMERA OF MY PATROL VEHICLE,,,,4D,1
1348479,679,2022/01/01 00:00:00+00,2023/02/01 12:57:00+00,2022/01/01 00:00:00+00,2023/02/01 12:57:00+00,CLEAR,467,Driver,34,M,HISPANIC,U,2001,NISSAN,ALTIMA,,,ELEANOR,TRACTION,,N,CITATION,I,(I)FAILURE TO STOP AT STOP SIGN,VC,22450(A),,N,,,,,,N,,,SEE ATTACHED PAPER CITATION,,4D,2
1360414,800,2022/01/01 00:00:00+00,2023/02/01 21:27:00+00,2022/01/01 00:00:00+00,2023/02/01 21:27:00+00,CLEAR,895,Driver,,F,HISPANIC,U,2017,CHEVROLET,CAMERO,,,GROVE AVE,LAS PALMAS AVE,,N,CITATION,M,(M) UNLICENSED OPERATOR,VC,12500(A),,N,,,,,,N,,,SEE ATTACHED PAPER CITATION,,2D,3
1365370,207,2022/01/01 00:00:00+00,2023/02/01 02:30:00+00,2022/01/01 00:00:00+00,2023/02/01 02:30:00+00,CLEAR,181,Driver,25,M,HISPANIC,U,2005,CHRYSLER,300,,,LAS PALMAS,GROVE,,N,CITATION,M,(M) UNLICENSED OPERATOR,VC,12500(A),,N,,,,,,N,,,SEE ATTACHED PAPER CITATION,,4D,4
1365370,207,2022/01/01 00:00:00+00,2023/02/01 02:30:00+00,2022/01/01 00:00:00+00,2023/02/01 02:30:00+00,CLEAR,181,Driver,25,M,HISPANIC,U,2005,CHRYSLER,300,,,LAS PALMAS,GROVE,,N,CITATION,M,(M) ILLEGAL SPEED CONTEST ON HWY,VC,23109(A),,N,,,,,,N,,,SEE ATTACHED PAPER CITATION,,4D,5
CS0010603,346,2022/01/01 00:00:00+00,2023/02/01 00:38:00+00,2022/01/01 00:00:00+00,2023/02/01 00:38:00+00,,66,DRIVER,22,M,AM. IND./AL. NATIVE,I,,,NOT IN LIST,PASS,20TH,ST,ST,,N,CITATION,I,(I) POSSESS ALCOHOL-PROHIBITED AREA,BP,25620(A),,N,,,,,,N,,,,,,6
CS0044766,267,2022/01/01 00:00:00+00,2023/02/01 16:16:00+00,2022/01/01 00:00:00+00,2023/02/01 16:16:00+00,CLEAR,610,DRIVER,67,F,WHITE,W,,,NOT IN LIST,PASS,1689,ARDEN WAY,,,N,CITATION,M,(M) OBSTRUCTS/RESISTS PUBLIC OFFICER,PC,148(A)(1),,N,,,,,,N,,,,,,7
CS0207593,944,2022/01/01 00:00:00+00,2023/02/01 01:48:00+00,2022/01/01 00:00:00+00,2023/02/01 01:48:00+00,,147,DRIVER,27,M,WHITE,W,,,,PASS,,916 K ST,,,N,Citation,I,(I) URINATE/DEFECATE IN PUBLIC,SCC,9.04.070,,N,,,,,,N,,,Refusal,,,8
CS0236011,428,2022/01/01 00:00:00+00,2023/02/01 19:21:00+00,2022/01/01 00:00:00+00,2023/02/01 19:21:00+00,,782,DRIVER,46,M,AFRICAN AMERICAN,B,,,,PASS,802,J ST,,,N,Citation,I,(I) Possesses Open Container in a Public Place,SCC,9.04.055(C),,N,,,,,,N,,,,,,9
CS0033027,238,2022/01/02 00:00:00+00,2023/02/01 01:23:00+00,2022/01/02 00:00:00+00,2023/02/01 01:16:00+00,CLEAR,1053,DRIVER,25,F,WHITE,W,2004,LEXUS,RX 330,TRCK,,MARYSVILLE BLVD,SOUTH AVE,N,N,CITATION,M,(M) UNLICENSED OPERATOR,VC,12500(A),,N,,,,,,N,,,,,LL,10
